CustomerName,Age,MaritalStatus,IncomeRange,Gender,TotalChildren,ChildrenAtHome,Education,Occupation,HomeOwner,Cars
Aaron Perry,73,1,150000,0,2,4,4,4,1,2
Aaron Phillips,75,0,50000,0,4,0,2,5,0,2
Aaron Powell,58,1,100000,0,2,0,4,5,1,1
Aaron Roberts,64,0,75000,0,2,1,3,5,1,2
Aaron Ross,58,1,75000,0,1,0,4,5,1,1
Aaron Russell,47,0,25000,0,2,2,2,1,1,1
Aaron Scott,43,1,75000,0,0,0,3,2,1,1
Aaron Shan,45,0,50000,0,2,2,3,3,1,2
Aaron Sharma,47,1,75000,0,1,0,5,5,1,0
Aaron Simmons,50,1,75000,0,0,0,5,5,1,0
Aaron Wang,53,0,150000,0,2,1,4,4,0,2
Aaron Washington,69,1,50000,0,4,0,2,5,0,2
Aaron Wright,66,1,100000,0,4,1,2,4,1,3
Aaron Yang,62,1,75000,0,2,0,2,5,1,2
Aaron Young,49,0,150000,0,0,1,5,4,0,1
Aaron Zhang,67,1,75000,0,2,1,4,4,1,0
Abby Arthur,51,1,50000,1,1,1,4,2,1,2
Abby Chandra,40,0,50000,1,0,0,3,3,0,1
Abby Fernandez,68,1,50000,1,2,1,2,5,1,2
Abby Garcia,46,0,25000,1,0,0,3,1,0,1
Abby Gonzalez,50,1,50000,1,1,1,4,2,1,1
Abby Kapoor,72,1,25000,1,3,0,2,2,1,2
Abby Kovár,64,0,25000,1,2,0,3,1,0,1
Abby Lopez,54,0,150000,1,1,3,4,4,0,2
Abby Madan,39,0,25000,1,0,0,2,1,0,1
Abby Martinez,79,0,50000,1,2,0,4,4,0,2
Abby Mehta,62,1,50000,1,3,0,1,3,0,2
Abby Patel,70,1,50000,1,2,0,3,3,0,2
Abby Perez,43,1,50000,1,0,0,2,1,0,1
Abby Raman,40,0,75000,1,0,0,4,5,1,3
Abby Rana,55,0,25000,1,1,0,4,1,1,0
Abby Sai,51,0,75000,1,0,0,4,5,0,1
Abby Sanchez,44,1,100000,1,0,0,4,5,1,3
Abby Sandberg,52,1,50000,1,2,2,3,3,0,2
Abby Subram,59,0,150000,1,2,4,3,5,0,2
Abhijit Thakur,67,1,75000,1,2,1,3,5,1,2
Abigail Alexander,37,0,50000,1,0,0,2,2,1,2
Abigail Anderson,36,0,50000,1,0,0,2,2,0,2
Abigail Bailey,52,0,50000,1,0,0,4,5,0,1
Abigail Barnes,66,1,75000,1,2,1,3,5,1,1
Abigail Barnes,52,0,100000,1,5,5,3,5,0,3
Abigail Bell,52,1,50000,1,0,0,4,5,0,1
Abigail Bennett,67,0,50000,1,4,0,2,5,1,2
Abigail Brooks,49,0,50000,1,0,0,4,5,1,1
Abigail Bryant,44,1,75000,1,0,0,3,2,1,2
Abigail Butler,44,1,50000,1,1,1,4,2,1,0
Abigail Clark,61,1,50000,1,1,0,3,3,1,1
Abigail Coleman,67,1,75000,1,2,1,3,5,1,2
Abigail Coleman,46,0,75000,1,1,0,5,5,0,0
Abigail Cook,49,0,50000,1,2,2,4,2,1,1
Abigail Cooper,53,0,75000,1,4,2,4,5,1,2
Abigail Cox,37,1,75000,1,0,0,3,2,1,1
Abigail Diaz,49,0,25000,1,1,1,3,1,1,1
Abigail Diaz,60,1,75000,1,3,2,3,5,1,0
Abigail Flores,77,1,75000,1,3,0,5,4,1,2
Abigail Foster,67,0,75000,1,5,1,3,5,1,2
Abigail Foster,51,1,100000,1,4,4,3,5,1,3
Abigail Garcia,54,1,25000,1,1,0,5,3,1,0
Abigail Gonzales,42,1,50000,1,0,0,5,2,1,0
Abigail Gonzales,54,0,100000,1,1,2,3,5,0,3
Abigail Griffin,61,1,25000,1,1,0,4,3,1,0
Abigail Harris,47,1,75000,1,1,1,4,2,1,1
Abigail Henderson,75,1,50000,1,1,0,4,3,1,0
Abigail Henderson,43,1,75000,1,0,0,3,5,0,2
Abigail Howard,55,0,150000,1,1,3,2,5,1,4
Abigail Hughes,43,1,50000,1,0,0,5,2,1,0
Abigail Hughes,45,0,75000,1,3,0,5,5,1,0
Abigail James,38,0,50000,1,0,0,2,2,0,2
Abigail Jenkins,47,0,50000,1,2,2,4,2,0,0
Abigail Johnson,83,1,100000,1,4,0,4,4,1,1
Abigail Jones,47,1,75000,1,5,5,5,5,1,2
Abigail Kelly,54,1,75000,1,1,0,3,2,1,1
Abigail Lewis,69,1,50000,1,4,0,2,5,1,2
Abigail Long,60,1,50000,1,2,0,2,2,0,2
Abigail Long,56,1,75000,1,1,0,3,2,1,1
Abigail Martin,57,1,75000,1,4,0,5,2,1,0
Abigail Martinez,73,1,150000,1,2,4,4,4,1,3
Abigail Miller,75,1,150000,1,2,4,5,4,1,3
Abigail Morgan,62,1,75000,1,2,0,1,2,1,2
Abigail Morris,61,0,25000,1,3,0,1,3,1,2
Abigail Murphy,38,0,50000,1,0,0,3,2,0,1
Abigail Patterson,62,0,100000,1,2,0,1,2,1,2
Abigail Patterson,82,1,100000,1,4,0,4,4,1,1
Abigail Perry,72,0,50000,1,5,0,1,3,0,2
Abigail Peterson,59,1,75000,1,2,0,1,2,1,2
Abigail Powell,61,1,50000,1,1,0,2,3,1,1
Abigail Price,59,0,100000,1,2,1,4,4,1,1
Abigail Ramirez,57,0,75000,1,4,0,5,2,1,0
Abigail Reed,68,1,75000,1,2,1,4,4,1,0
Abigail Richardson,46,1,150000,1,0,5,2,4,1,4
Abigail Rivera,45,0,50000,1,2,2,3,3,1,1
Abigail Robinson,60,1,100000,1,3,0,3,5,0,2
Abigail Rodriguez,53,1,75000,1,3,2,5,5,1,0
Abigail Rogers,53,1,100000,1,0,0,3,5,0,1
Abigail Ross,46,1,50000,1,0,0,4,3,1,0
Abigail Ross,49,1,100000,1,1,0,4,4,1,2
Abigail Russell,61,1,150000,1,2,4,1,5,1,4
Abigail Sanchez,57,1,75000,1,5,5,5,5,1,3
Abigail Sanders,61,1,50000,1,1,0,2,3,1,2
Abigail Simmons,52,0,75000,1,4,4,4,2,1,3
Abigail Simmons,65,1,75000,1,4,2,3,5,1,2
Abigail Smith,56,1,75000,1,1,0,3,2,1,1
Abigail Stewart,58,1,100000,1,1,0,3,2,1,1
Abigail Thompson,53,1,75000,1,3,2,5,5,1,0
Abigail Torres,57,1,50000,1,2,0,3,3,0,1
Abigail Walker,63,0,75000,1,3,0,5,4,1,2
Abigail Ward,64,1,75000,1,4,2,3,5,1,2
Abigail Washington,45,0,100000,1,0,0,4,5,0,3
Abigail White,45,0,75000,1,1,0,5,2,1,0
Abigail Williams,58,0,25000,1,1,0,4,1,1,0
Abigail Wood,36,0,50000,1,0,0,3,2,1,2
Adam Adams,63,1,75000,0,3,0,5,4,0,2
Adam Allen,52,1,75000,0,4,2,4,2,1,2
Adam Baker,53,0,50000,0,2,2,3,3,1,2
Adam Bryant,52,1,75000,0,4,2,4,2,1,2
Adam Butler,59,0,150000,0,2,3,2,5,0,4
Adam Campbell,43,0,75000,0,0,0,3,2,0,2
Adam Chen,51,0,50000,0,0,0,4,5,1,1
Adam Collins,74,0,150000,0,2,3,4,4,0,4
Adam Diaz,62,0,25000,0,2,0,3,1,0,1
Adam Edwards,54,0,150000,0,1,2,4,4,0,4
Adam Evans,43,1,100000,0,0,0,4,5,1,3
Adam Flores,67,1,25000,0,2,1,1,3,1,2
Adam Gonzales,54,0,150000,0,1,3,4,4,0,3
Adam Gonzalez,38,0,75000,0,0,0,3,2,0,2
Adam Green,42,1,50000,0,0,0,2,2,1,2
Adam Griffin,58,1,50000,0,2,0,3,3,1,1
Adam Hall,43,0,50000,0,0,0,2,1,1,1
Adam Hayes,46,0,25000,0,0,0,3,1,0,1
Adam Henderson,58,1,75000,0,1,0,4,5,1,1
Adam Hernandez,63,1,75000,0,3,0,5,4,0,2
Adam Hill,58,1,100000,0,5,4,4,5,0,1
Adam Hughes,62,1,100000,0,4,2,3,5,0,1
Adam Jai,49,0,50000,0,0,0,3,2,0,1
Adam Jenkins,45,1,50000,0,0,0,2,1,0,1
Adam King,54,1,25000,0,1,0,5,1,1,0
Adam Kumar,52,1,50000,0,5,5,4,2,1,2
Adam Lal,48,1,75000,0,2,2,4,2,1,0
Adam Li,51,0,100000,0,3,3,4,2,1,1
Adam Long,64,0,50000,0,3,0,3,5,1,2
Adam Lopez,51,0,75000,0,0,0,5,5,0,0
Adam Mitchell,65,1,75000,0,2,1,3,5,1,1
Adam Nelson,72,0,50000,0,5,0,1,3,0,2
Adam Parker,56,1,75000,0,1,0,3,2,1,1
Adam Patterson,54,1,150000,0,1,3,3,5,1,4
Adam Perez,65,1,100000,0,4,1,2,5,1,3
Adam Perry,56,1,75000,0,1,0,3,2,1,1
Adam Phillips,70,0,75000,0,5,0,4,4,1,3
Adam Powell,49,1,75000,0,5,5,4,5,1,4
Adam Roberts,40,0,75000,0,0,0,3,2,1,2
Adam Ross,55,1,75000,0,1,0,4,5,1,1
Adam Russell,54,1,150000,0,1,3,3,5,1,4
Adam Scott,43,1,50000,0,0,0,5,2,0,0
Adam Shan,56,0,25000,0,1,1,2,1,1,1
Adam Sharma,38,0,75000,0,0,0,3,2,0,2
Adam Simmons,41,1,50000,0,3,3,3,3,1,0
Adam Turner,52,0,75000,0,4,2,4,2,1,2
Adam Wang,79,1,75000,0,3,0,5,4,1,2
Adam Washington,51,1,50000,0,3,3,4,2,1,2
Adam Wright,58,1,150000,0,1,1,5,4,1,4
Adam Young,58,1,75000,0,1,0,4,5,1,1
Adam Zhang,66,1,75000,0,2,1,2,5,1,2
Adrian Bailey,64,1,75000,0,2,1,2,5,0,2
Adrian Bell,49,0,75000,0,0,0,4,5,0,1
Adrian Brooks,75,1,75000,0,3,0,5,4,1,2
Adrian Cook,73,0,75000,0,4,0,4,4,1,2
Adrian Cooper,38,0,75000,0,0,0,3,2,0,2
Adrian Cox,40,0,75000,0,0,0,3,5,0,2
Adrian Gray,39,0,75000,0,0,0,3,2,0,2
Adrian Howard,49,0,75000,0,0,0,3,2,1,1
Adrian James,61,0,25000,0,3,0,1,3,0,2
Adrian Morgan,58,1,100000,0,4,0,5,2,1,0
Adrian Morris,62,1,100000,0,3,2,3,5,1,1
Adrian Peterson,41,0,50000,0,0,0,2,2,1,1
Adrian Ramirez,52,1,150000,0,2,2,4,4,1,3
Adrian Richardson,37,0,75000,0,0,0,3,2,0,1
Adrian Rivera,62,1,50000,0,1,0,3,3,1,1
Adrian Sanchez,74,1,100000,0,5,0,4,4,1,2
Adrian Sanders,58,1,50000,0,1,0,5,3,1,0
Adrian Stewart,65,0,75000,0,4,2,3,5,1,1
Adrian Torres,49,0,75000,0,0,0,5,5,1,1
Adrian Ward,62,0,50000,0,1,0,2,3,0,1
Adrian Watson,46,0,100000,0,0,0,4,5,0,4
Adriana Arthur,48,0,25000,1,3,3,2,1,1,0
Adriana Chandra,70,1,100000,1,3,4,4,4,1,0
Adriana Garcia,80,1,100000,1,4,0,5,4,1,2
Adriana Gonzalez,70,0,100000,1,5,0,3,5,1,2
Adriana Kapoor,40,0,25000,1,0,0,1,1,0,1
Adriana Lopez,52,0,75000,1,0,0,4,5,1,1
Adriana Madan,46,0,25000,1,0,0,3,1,1,1
Adriana Malhotra,51,1,100000,1,3,3,4,2,1,3
Adriana Martinez,75,1,25000,1,1,0,3,1,1,0
Adriana Mehta,54,0,50000,1,1,0,3,3,1,1
Adriana Patel,80,1,25000,1,1,0,5,3,1,0
Adriana Perez,58,0,100000,1,4,0,5,2,1,0
Adriana Prasad,44,0,50000,1,0,0,2,1,0,1
Adriana Raman,55,0,25000,1,1,0,4,1,0,0
Adriana Rana,45,0,25000,1,0,0,1,1,0,2
Adriana Rodriguez,62,1,150000,1,3,4,3,5,1,4
Adriana Sai,49,1,50000,1,0,0,4,3,1,0
Adriana Sanchez,46,0,25000,1,0,0,3,1,0,1
Adriana Sara,45,1,100000,1,0,5,2,4,1,4
Adriana Smith,48,0,75000,1,2,2,4,5,1,1
Adriana Subram,49,1,75000,1,5,5,4,5,0,4
Adriana Suri,64,1,50000,1,3,0,2,2,1,2
Adriana Vance,43,1,50000,1,1,1,4,2,1,0
Adrienne Alvarez,51,0,75000,1,3,3,4,5,1,1
Adrienne Blanco,60,1,150000,1,2,4,3,5,1,4
Adrienne Dominguez,49,0,75000,1,0,0,5,5,1,1
Adrienne Gill,53,0,25000,1,3,2,1,1,1,2
Adrienne Gomez,52,0,75000,1,4,4,4,5,1,3
Adrienne Gutierrez,64,0,50000,1,3,0,2,2,1,2
Adrienne Hernandez,50,1,50000,1,0,0,4,5,0,0
Adrienne Jiménez,40,0,50000,1,0,0,3,2,1,1
Adrienne Martin,41,0,100000,1,0,0,4,5,1,2
Adrienne Navarro,66,0,100000,1,3,4,3,4,0,4
Adrienne Ortega,37,0,50000,1,3,3,3,3,0,1
Adrienne Ramos,49,1,75000,1,5,5,4,5,0,3
Adrienne Ruiz,40,0,25000,1,0,0,2,1,1,2
Adrienne Sanz,53,1,50000,1,1,0,4,2,1,0
Adrienne Serrano,47,0,50000,1,0,0,5,3,1,0
Adrienne Suarez,63,1,100000,1,4,2,3,5,1,2
Adrienne Torres,44,0,50000,1,0,0,2,1,0,1
Adrienne Vazquez,50,0,75000,1,3,3,4,2,1,1
Aidan Alexander,44,1,50000,0,1,1,5,2,1,0
Aidan Barnes,53,0,75000,0,4,2,4,5,1,2
Aidan Bennett,69,1,75000,0,5,0,4,4,1,3
Aidan Bryant,51,0,100000,0,5,5,3,5,1,3
Aidan Butler,63,1,75000,0,3,0,5,4,1,2
Aidan Coleman,63,1,25000,0,2,1,2,1,1,2
Aidan Diaz,47,1,75000,0,2,2,4,2,1,0
Aidan Flores,62,1,75000,0,2,0,1,2,1,2
Aidan Foster,46,0,150000,0,0,5,2,4,0,4
Aidan Gonzales,42,1,50000,0,0,0,3,2,0,1
Aidan Griffin,68,1,75000,0,2,1,3,5,1,1
Aidan Hayes,80,1,50000,0,2,0,5,4,1,2
Aidan Henderson,55,1,75000,0,1,0,3,2,1,1
Aidan Hughes,50,0,100000,0,3,3,4,2,1,0
Aidan Jenkins,55,1,100000,0,4,3,2,5,1,2
Aidan Long,66,1,100000,0,3,1,4,4,1,1
Aidan Patterson,62,1,75000,0,2,0,1,2,1,2
Aidan Perry,69,1,75000,0,5,0,4,4,0,3
Aidan Powell,47,1,75000,0,1,0,5,5,1,0
Aidan Ross,57,0,75000,0,4,0,5,2,0,0
Aidan Russell,55,1,100000,0,4,3,2,5,1,2
Aidan Simmons,60,1,100000,0,2,0,1,2,1,2
Aidan Washington,43,0,50000,0,0,0,3,3,0,1
Aidan Wood,61,1,50000,0,1,0,3,3,1,1
Aimee Chen,58,0,100000,1,1,1,4,4,1,2
Aimee Gao,58,1,50000,1,1,0,4,3,0,0
Aimee Guo,52,1,75000,1,4,4,4,5,1,3
Aimee He,49,1,100000,1,0,0,5,4,1,0
Aimee Hu,45,0,100000,1,0,0,4,5,0,4
Aimee Huang,45,1,75000,1,2,0,5,5,1,0
Aimee Li,38,0,25000,1,1,1,2,1,0,0
Aimee Liu,50,1,100000,1,0,0,5,2,1,0
Aimee Lu,55,1,100000,1,5,4,3,5,1,3
Aimee Ma,69,1,100000,1,3,4,2,4,1,4
Aimee She,50,0,75000,1,5,0,5,5,1,0
Aimee Sun,79,0,50000,1,2,0,3,3,1,2
Aimee Wang,56,0,25000,1,1,1,3,1,0,0
Aimee Wu,50,1,150000,1,0,0,5,4,1,1
Aimee Zeng,53,0,50000,1,2,2,3,3,1,0
Aimee Zhang,46,0,100000,1,2,0,4,5,1,0
Aimee Zheng,61,0,100000,1,2,0,3,2,0,2
Aimee Zhou,45,1,50000,1,2,2,3,3,0,1
Ajay Solanki,57,1,100000,1,2,0,4,5,1,1
Alan Cai,48,1,50000,0,1,0,4,3,1,0
Alan Chen,70,1,150000,0,3,4,4,4,1,4
Alan Gao,39,0,25000,0,0,0,2,1,0,1
Alan Guo,57,0,25000,0,1,1,2,1,0,1
Alan He,38,1,25000,0,0,0,5,1,0,0
Alan Hu,50,1,100000,0,0,0,5,5,1,0
Alan Huang,42,0,75000,0,0,0,4,5,0,3
Alan Li,50,0,25000,0,1,1,2,1,1,1
Alan Liang,70,0,25000,0,4,0,2,2,0,2
Alan Lin,70,0,25000,0,5,0,2,2,0,2
Alan Liu,42,0,25000,0,0,0,1,1,1,2
Alan Lu,66,1,25000,0,2,1,1,3,1,2
Alan Ma,49,0,50000,0,0,0,4,3,0,0
Alan She,46,0,50000,0,0,0,4,3,0,0
Alan Shen,68,1,25000,0,2,1,1,3,0,2
Alan Sun,48,0,50000,0,1,0,4,3,1,0
Alan Wang,42,1,75000,0,0,0,1,5,1,4
Alan Xu,76,1,50000,0,2,0,4,4,0,2
Alan Yang,52,1,75000,0,4,4,4,5,0,3
Alan Ye,57,1,75000,0,4,0,5,2,1,0
Alan Zeng,46,0,50000,0,2,2,3,3,1,0
Alan Zhang,69,1,100000,0,4,5,1,5,1,0
Alan Zheng,65,1,50000,0,3,0,2,2,1,2
Alan Zhou,67,1,25000,0,2,1,1,3,1,2
Alan Zhu,52,0,75000,0,0,0,4,5,0,1
Albert Alonso,45,0,50000,0,0,0,2,1,0,1
Albert Alvarez,44,0,100000,0,0,0,4,5,0,3
Albert Blanco,70,1,150000,0,4,4,3,5,1,4
Albert Cabello,36,0,25000,1,0,0,1,1,0,2
Albert Castro,55,0,50000,0,4,3,2,2,1,3
Albert Diaz,61,1,50000,0,1,0,3,3,1,1
Albert Dominguez,47,1,50000,0,0,0,4,3,1,0
Albert Gomez,43,0,50000,0,0,0,2,1,0,1
Albert Hernandez,48,1,50000,0,1,0,4,3,0,0
Albert Jiménez,44,0,50000,0,0,0,2,1,0,1
Albert Martin,51,1,25000,0,2,2,2,1,1,0
Albert Moreno,45,0,50000,0,2,2,3,3,1,2
Albert Navarro,44,0,100000,0,0,0,4,5,0,3
Albert Ortega,42,1,50000,0,3,3,3,3,0,2
Albert Ramos,55,0,75000,0,5,4,3,2,1,2
Albert Romero,56,0,50000,0,0,0,4,5,0,1
Albert Rubio,54,1,50000,0,4,0,5,3,1,0
Albert Sanz,73,0,25000,0,1,0,3,1,1,0
Albert Serrano,77,0,100000,0,4,0,5,4,1,2
Albert Suarez,42,0,25000,0,0,0,1,1,1,2
Albert Vazquez,47,1,50000,0,2,2,4,2,1,0
Alberto Alonso,59,1,25000,0,2,1,1,3,1,2
Alberto Alvarez,42,1,75000,0,0,0,2,5,1,2
Alberto Blanco,40,1,25000,0,0,0,2,1,1,2
Alberto Diaz,71,1,75000,0,5,1,2,5,1,3
Alberto Dominguez,54,1,100000,0,5,4,3,5,1,3
Alberto Gill,37,1,25000,0,0,0,4,3,1,0
Alberto Gomez,55,1,75000,0,5,4,3,5,1,3
Alberto Gutierrez,74,1,50000,0,1,0,4,3,1,0
Alberto Hernandez,63,0,50000,0,2,0,3,2,1,2
Alberto Jiménez,50,0,100000,0,0,0,5,4,0,1
Alberto Martin,36,0,25000,0,0,0,1,1,0,2
Alberto Muñoz,51,1,75000,0,3,3,4,5,1,1
Alberto Navarro,57,0,75000,0,4,0,5,2,1,0
Alberto Ortega,58,1,50000,0,1,0,4,3,1,0
Alberto Ramos,74,1,50000,0,1,0,4,3,1,0
Alberto Romero,51,1,50000,0,1,0,4,2,1,0
Alberto Rowe,43,1,25000,0,0,0,1,1,1,2
Alberto Ruiz,53,1,75000,0,5,5,4,5,1,1
Alberto Sanz,39,0,25000,0,0,0,2,1,1,1
Alberto Serrano,57,0,100000,0,1,0,4,5,1,1
Alberto Suarez,52,1,75000,0,4,4,4,5,1,3
Alejandro Anand,62,1,150000,0,4,5,2,5,1,1
Alejandro Andersen,46,0,50000,0,0,0,4,3,0,0
Alejandro Beck,71,1,25000,0,2,1,1,3,1,2
Alejandro Cai,49,1,75000,0,0,0,5,5,0,1
Alejandro Chander,52,1,75000,0,4,4,4,5,0,3
Alejandro Chavez,41,0,50000,0,0,0,3,3,0,1
Alejandro Chen,51,0,25000,0,2,2,2,1,1,1
Alejandro Deng,40,1,50000,0,0,0,3,2,1,1
Alejandro Gao,46,0,25000,0,1,1,2,1,0,1
Alejandro Goel,60,0,75000,0,2,0,2,2,0,2
Alejandro Guo,51,0,25000,0,2,2,2,1,1,0
Alejandro Hu,52,0,75000,0,0,0,4,5,0,1
Alejandro Huang,45,1,100000,0,0,0,4,5,1,4
Alejandro Kumar,56,1,75000,0,1,0,3,2,1,1
Alejandro Lal,53,1,25000,0,1,0,5,1,1,0
Alejandro Li,57,0,150000,0,4,1,4,4,0,4
Alejandro Liang,50,0,100000,0,5,5,5,4,1,3
Alejandro Lin,75,1,50000,0,1,0,4,3,1,0
Alejandro Liu,47,1,100000,0,1,0,5,4,0,0
Alejandro Lu,48,1,100000,0,4,4,4,4,1,1
Alejandro Luo,63,1,150000,0,5,5,3,5,0,2
Alejandro Ma,61,0,100000,0,2,1,2,5,1,2
Alejandro Nara,54,1,50000,0,1,0,4,2,1,0
Alejandro Nath,65,1,100000,0,4,1,2,5,1,3
Alejandro Rai,51,0,100000,0,5,5,4,5,1,4
Alejandro Raji,78,0,25000,0,1,0,4,3,1,0
Alejandro Shan,65,1,75000,0,2,1,3,5,1,1
Alejandro Sharma,57,1,100000,0,5,0,5,5,1,0
Alejandro She,47,1,25000,0,0,0,5,1,1,0
Alejandro Shen,54,1,25000,0,1,0,5,1,1,0
Alejandro Sun,50,0,50000,0,0,0,4,5,1,0
Alejandro Tang,48,0,25000,0,1,1,3,1,0,0
Alejandro Wang,55,1,75000,0,1,0,3,2,1,1
Alejandro Wu,39,1,75000,0,0,0,3,2,0,2
Alejandro Xie,72,0,150000,0,3,4,4,4,0,3
Alejandro Xu,41,1,50000,0,0,0,3,2,1,2
Alejandro Xu,60,0,100000,0,2,0,2,2,1,2
Alejandro Yang,63,1,50000,0,3,0,3,2,0,2
Alejandro Ye,37,0,25000,0,0,0,3,1,1,1
Alejandro Yuan,55,1,50000,0,4,3,2,2,1,3
Alejandro Zeng,65,1,150000,0,4,5,3,5,1,2
Alejandro Zhang,51,0,100000,0,5,5,4,5,1,4
Alejandro Zhao,49,0,25000,0,1,1,3,1,0,1
Alejandro Zheng,67,1,75000,0,5,1,1,2,1,3
Alejandro Zhou,70,0,150000,0,4,4,3,5,0,4
Alejandro Zhu,66,1,100000,0,3,4,3,4,1,4
Alex Adams,54,1,75000,0,1,0,3,2,1,1
Alex Allen,48,1,100000,0,4,4,3,2,1,3
Alex Bailey,49,0,75000,0,2,2,4,2,0,1
Alex Baker,45,1,75000,0,1,0,5,2,1,0
Alex Bell,44,0,100000,0,0,0,4,4,1,1
Alex Brooks,74,1,150000,0,2,3,5,4,1,2
Alex Campbell,59,1,100000,0,2,1,4,4,1,0
Alex Carter,41,1,50000,0,0,0,2,2,1,2
Alex Collins,60,0,25000,0,3,0,1,3,0,2
Alex Cook,51,1,100000,0,4,1,3,5,1,4
Alex Cooper,44,0,150000,0,0,5,3,4,0,3
Alex Cox,64,0,75000,0,4,2,3,5,1,2
Alex Edwards,78,1,150000,0,2,3,4,4,1,4
Alex Evans,74,1,100000,0,5,0,4,4,0,2
Alex Gonzalez,60,1,75000,0,3,2,3,5,1,0
Alex Gray,64,1,75000,0,2,1,1,2,1,2
Alex Green,70,1,25000,0,4,0,2,2,0,2
Alex Hernandez,51,1,75000,0,0,0,5,5,1,0
Alex Hill,60,0,100000,0,2,0,2,2,1,2
Alex Howard,37,1,50000,0,0,0,2,2,0,2
Alex James,73,0,75000,0,4,0,4,4,1,2
Alex Kelly,50,1,75000,0,0,0,5,2,1,0
Alex King,56,1,100000,0,0,3,3,5,1,2
Alex Lopez,61,1,50000,0,1,0,3,3,1,1
Alex Mitchell,49,0,75000,0,0,0,5,5,0,1
Alex Morgan,60,1,50000,0,2,0,2,2,0,2
Alex Morris,39,0,50000,0,0,0,4,5,0,2
Alex Murphy,46,1,50000,0,1,1,4,2,1,1
Alex Nelson,62,1,100000,0,3,4,2,5,1,3
Alex Parker,55,1,150000,0,1,3,4,4,1,3
Alex Perez,48,1,100000,0,0,0,4,4,0,1
Alex Peterson,52,0,100000,0,4,3,4,4,1,0
Alex Phillips,40,0,50000,0,0,0,2,2,0,2
Alex Ramirez,47,1,50000,0,2,2,4,2,1,0
Alex Reed,42,1,50000,0,0,0,3,2,1,1
Alex Richardson,39,0,50000,0,0,0,3,2,0,1
Alex Roberts,46,1,50000,0,1,1,4,2,1,1
Alex Rogers,59,0,75000,0,2,0,2,5,0,2
Alex Sanchez,59,0,100000,0,2,0,3,5,1,1
Alex Sanders,38,1,50000,0,0,0,2,2,1,2
Alex Scott,74,1,75000,0,2,0,5,4,1,1
Alex Stewart,63,1,25000,0,2,0,2,1,0,2
Alex Torres,60,1,75000,0,3,0,3,5,0,2
Alex Turner,55,1,150000,0,1,3,4,4,1,3
Alex Ward,59,1,25000,0,1,0,4,3,1,0
Alex Watson,50,1,150000,0,1,1,5,4,1,4
Alex Wright,40,0,75000,0,0,0,3,2,0,2
Alex Young,59,0,50000,0,2,0,2,2,1,2
Alexa Bailey,39,0,50000,1,0,0,3,2,1,1
Alexa Bell,48,1,75000,1,2,2,4,2,1,0
Alexa Brooks,63,1,75000,1,4,3,3,5,1,1
Alexa Cook,42,0,50000,1,0,0,3,2,0,1
Alexa Cooper,72,0,75000,1,5,0,4,4,1,2
Alexa Cox,71,1,50000,1,5,0,2,5,0,2
